date,CO2排放总量,CH4排放总量,N2O排放总量
2023/7/20,584456508.7,11823.5274,24469.80633
2023/7/21,1067835724,21270.41417,44385.44056
2023/7/22,1143043447,22717.69094,47606.81546
2023/7/23,1045982663,20967.10611,43557.31309
2023/7/24,1227956184,24577.37995,51002.28182
2023/7/25,1153414328,22875.54901,47935.96478
2023/7/26,1143908202,22829.06259,47658.02991
2023/7/27,964877821.3,19037.09892,40099.60193
2023/7/28,982620332,19091.30534,41055.28569
2023/7/29,706453195.1,13778.35172,29284.45053
2023/7/30,783188944.5,15303.4238,32363.64458
2023/7/31,657749285.2,12515.24985,27156.58073
2023/8/1,755081663.2,14680.7474,31356.50297
2023/8/2,782943768.8,15369.01291,32517.11545
2023/8/3,693943311.4,13616.38271,28716.80193
2023/8/4,815215612.5,15666.98877,33600.87134
2023/8/5,1096193413,21034.24085,45252.5393
2023/8/6,1246033021,24128.9397,51687.80443
2023/8/7,1301953259,25473.56055,54054.21196
2023/8/8,1236883546,23773.09227,51261.17333
2023/8/9,1199739555,23880.01416,49964.49541
2023/8/10,1308588660,26010.13099,54523.59604
2023/8/11,1114796583,21734.48629,46279.77195
2023/8/12,1110488360,21430.80375,45954.99709
2023/8/13,1308960407,25288.53363,54152.83698
2023/8/14,1305566846,25299.83512,54391.47998
2023/8/15,1490600827,29136.88214,62167.27145
2023/8/16,1546408838,30715.10768,64710.42022
2023/8/17,1534471084,30671.44449,64187.24944
2023/8/18,1607098577,31801.74553,67144.67484
2023/8/19,1480596983,29008.60373,61771.19739
2023/8/20,1064181049,20988.15395,44584.88645
